Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Syrian Arab Republic,SYR,Rule of Law: Estimate,RL.EST,-1.990615
"Taiwan, China",TWN,Rule of Law: Estimate,RL.EST,1.141337
Tajikistan,TJK,Rule of Law: Estimate,RL.EST,-1.148006
Tanzania,TZA,Rule of Law: Estimate,RL.EST,-0.3767008
Thailand,THA,Rule of Law: Estimate,RL.EST,-0.0048757
Timor-Leste,TLS,Rule of Law: Estimate,RL.EST,-1.158142
Togo,TGO,Rule of Law: Estimate,RL.EST,-0.6335543
Tonga,TON,Rule of Law: Estimate,RL.EST,0.258535
Trinidad and Tobago,TTO,Rule of Law: Estimate,RL.EST,-0.1540717
Tunisia,TUN,Rule of Law: Estimate,RL.EST,-0.0031012
Turkey,TUR,Rule of Law: Estimate,RL.EST,-0.2086442
Turkmenistan,TKM,Rule of Law: Estimate,RL.EST,-1.489825
Tuvalu,TUV,Rule of Law: Estimate,RL.EST,0.4658236
Uganda,UGA,Rule of Law: Estimate,RL.EST,-0.2511764
Ukraine,UKR,Rule of Law: Estimate,RL.EST,-0.7662937
United Arab Emirates,ARE,Rule of Law: Estimate,RL.EST,0.849041
United Kingdom,GBR,Rule of Law: Estimate,RL.EST,1.691507
United States,USA,Rule of Law: Estimate,RL.EST,1.617996
Uruguay,URY,Rule of Law: Estimate,RL.EST,0.6303942
Uzbekistan,UZB,Rule of Law: Estimate,RL.EST,-1.106817
Vanuatu,VUT,Rule of Law: Estimate,RL.EST,0.338263
"Venezuela, RB",VEN,Rule of Law: Estimate,RL.EST,-2.24108
Vietnam,VNM,Rule of Law: Estimate,RL.EST,0.0753607
Virgin Islands (U.S.),VIR,Rule of Law: Estimate,RL.EST,0.6279191
West Bank and Gaza,PSE,Rule of Law: Estimate,RL.EST,-0.3435345
"Yemen, Rep.",YEM,Rule of Law: Estimate,RL.EST,-1.644989
Zambia,ZMB,Rule of Law: Estimate,RL.EST,-0.30044
Zimbabwe,ZWE,Rule of Law: Estimate,RL.EST,-1.36823
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 11/07/2019,,,,
